Treatment,Sample,Adult,L1,L2,L3,L4,L5,Total_L1_L2,sqrt_L1,sqrt_L1_L2
Low,A,1,36,9,0,0,0,45,6.04,6.75
Low,B,1,6,0,0,0,0,6,2.55,2.55
Low,C,2,7,3,0,0,0,10,2.74,3.24
Low,D,1,3,0,0,0,0,3,1.87,1.87
Low,E,1,37,5,0,0,0,42,6.12,6.52
Low,F,0,18,1,0,0,0,19,4.30,4.42
Low,G,2,22,3,0,0,0,25,4.74,5.05
Low,H,2,9,0,0,0,0,9,3.08,3.08
Low,I,1,11,0,0,0,0,11,3.39,3.39
Low,J,2,2,1,0,0,0,3,1.58,1.87
Low,K,2,5,0,0,0,0,5,2.35,2.35
Low,L,2,19,12,3,0,0,31,4.42,5.61
Medium,A,0,0,0,0,0,0,0,0.71,0.71
Medium,B,1,3,0,0,0,0,3,1.87,1.87
Medium,C,0,14,2,0,0,0,16,3.81,4.06
Medium,D,3,19,1,0,0,0,20,4.42,4.53
Medium,E,2,7,1,0,0,0,8,2.74,2.92
Medium,F,1,4,4,0,0,0,8,2.12,2.92
Medium,G,2,8,2,0,0,0,10,2.92,3.24
Medium,H,2,3,1,0,0,0,4,1.87,2.12
Medium,I,1,3,0,0,0,0,3,1.87,1.87
Medium,J,1,2,1,0,0,0,3,1.58,1.87
Medium,K,0,14,4,0,0,0,18,3.81,4.30
Medium,L,2,12,2,0,0,0,14,3.54,3.81
High,A,2,7,0,0,0,0,7,2.74,2.74
High,B,2,1,1,0,0,0,2,1.22,1.58
High,C,2,10,0,0,0,0,10,3.24,3.24
High,D,1,12,8,0,0,0,20,3.54,4.53
High,E,1,3,0,0,0,0,3,1.87,1.87
High,F,1,16,8,0,0,0,24,4.06,4.95
High,G,1,0,0,0,0,0,0,0.71,0.71
High,H,1,2,6,0,0,0,8,1.58,2.92
High,I,1,1,0,0,0,0,1,1.22,1.22
High,J,1,2,0,0,0,0,2,1.58,1.58
High,K,1,0,0,0,0,0,0,0.71,0.71
High,L,1,0,0,0,0,0,0,0.71,0.71
