Treatment,Sample,VWC,Adult,L1,L2,L3,L4,L5,Total_L1_L2,sqrt_L1,sqrt_L1_L2
Low,1A,13.0,2,1,0,0,0,0,1,1.22,1.22
Low,1B,13.5,2,3,0,0,0,0,3,1.87,1.87
Low,1C,12.0,2,2,3,0,0,0,5,1.58,2.35
Low,1D,13.9,1,3,0,0,0,0,3,1.87,1.87
Low,1E,14.7,2,4,0,0,0,0,4,2.12,2.12
Low,1F,14.8,1,2,1,0,0,0,3,1.58,1.87
Low,1G,11.9,1,2,0,0,0,0,2,1.58,1.58
Low,1H,12.8,2,0,0,0,0,0,0,0.71,0.71
Low,1I,14.6,2,3,3,0,0,0,6,1.87,2.55
Low,1J,13.4,2,0,0,0,0,0,0,0.71,0.71
Low,1K,13.9,1,0,0,0,0,0,0,0.71,0.71
Low,1L,14.1,1,1,0,0,0,0,1,1.22,1.22
Medium,2A,23.8,1,0,0,0,0,0,0,0.71,0.71
Medium,2B,23.7,2,8,2,0,0,0,10,2.92,3.24
Medium,2C,21.5,2,8,4,0,0,0,12,2.92,3.54
Medium,2D,23.3,2,5,0,0,0,0,5,2.35,2.35
Medium,2E,24.2,2,0,0,0,0,0,0,0.71,0.71
Medium,2F,22.6,2,1,1,0,0,0,2,1.22,1.58
Medium,2G,22.5,0,1,0,0,0,0,1,1.22,1.22
Medium,2H,24.2,1,7,8,0,0,0,15,2.74,3.94
Medium,2I,23.8,0,16,3,0,0,0,19,4.06,4.42
Medium,2J,22.9,2,0,0,0,0,0,0,0.71,0.71
Medium,2K,24.2,2,14,4,0,0,0,18,3.81,4.30
Medium,2L,24.9,2,6,0,0,0,0,6,2.55,2.55
High,3A,33.8,1,1,0,0,0,0,1,1.22,1.22
High,3B,32.4,1,0,0,0,0,0,0,0.71,0.71
High,3C,35.0,0,5,0,0,0,0,5,2.35,2.35
High,3D,32.2,1,1,0,0,0,0,1,1.22,1.22
High,3E,34.2,1,1,0,0,0,0,1,1.22,1.22
High,3F,34.4,2,0,0,0,0,0,0,0.71,0.71
High,3G,34.6,2,0,0,0,0,0,0,0.71,0.71
High,3H,32.5,2,1,1,0,0,0,2,1.22,1.58
High,3I,32.5,2,2,0,0,0,0,2,1.58,1.58
High,3J,32.2,1,0,0,0,0,0,0,0.71,0.71
High,3K,34.7,2,0,0,0,0,0,0,0.71,0.71
High,3L,33.1,2,0,0,0,0,0,0,0.71,0.71
