DPI,Treatment,Sample,Adult,L1,L2,L3,L4,L5,Total,sqrt_Total,ln_Total,Avg L,,,,,,,,,,
14,High,F,0,2,7,4,7,0,20,4.53,3.04,2.8,,,Treatment,DPI,VWC,Mean_Larvae,SD_Larvae,SE_Larvae,MS,Avg_L
14,High,H,0,3,17,14,16,3,53,7.31,3.99,2.98,,,3,14,High,38.25,34.71413874,12.27330145,Aa,3.02
14,High,J,0,1,13,13,15,3,45,6.75,3.83,3.13,,,6,19,High,20.125,17.33236032,6.127914758,Aab,4.008333333
14,High,K,0,5,8,14,2,1,30,5.52,3.43,2.53,,,9,24,High,7.75,5.175491695,1.829812637,Ab,4.393333333
14,High,Q,0,3,17,18,7,1,46,6.82,3.85,2.7,,,1,14,Low,35.75,22.98912787,8.127884104,Aa,2.76
14,High,R,0,0,0,0,3,0,3,1.87,1.39,4,,,4,19,Low,9.375,8.683934263,3.070234402,Ab,3.616666667
14,High,V,0,0,0,0,0,0,0,0.71,0,,,,7,24,Low,6.75,8.581541653,3.034033148,Ab,3.846
14,High,X,0,4,29,43,29,4,109,10.46,4.7,3,,,2,14,Medium,31.75,18.49903472,6.540396449,Aa,3.15875
19,High,A,0,0,0,7,13,24,44,6.67,3.81,4.39,,,5,19,Medium,20.75,10.59312445,3.745235068,Aa,3.81125
19,High,C,0,0,0,0,0,0,0,0.71,0,,,,8,24,Medium,12.5,10.09950494,3.570714214,Aa,4.50125
19,High,D,0,0,2,4,3,9,18,4.3,2.94,4.06,,,,,,,,,,
19,High,M,0,0,0,2,1,2,5,2.35,1.79,4,,,,,,,,,,
19,High,S,0,0,4,14,4,5,27,5.24,3.33,3.37,,,,,,,,,,
19,High,T,0,0,3,7,14,16,40,6.36,3.71,4.08,,,,,,,,,,
19,High,U,0,2,0,3,9,13,27,5.24,3.33,4.15,,,,,,,,,,
19,High,W,0,0,0,0,0,0,0,0.71,0,,,,,,,,,,,
24,High,B,0,0,0,1,7,5,13,3.67,2.64,4.31,,,,,,,,,,
24,High,E,0,0,0,0,2,7,9,3.08,2.3,4.78,,,,,,,,,,
24,High,G,0,0,0,0,5,6,11,3.39,2.48,4.55,,,,,,,,,,
24,High,I,0,0,0,0,0,0,0,0.71,0,,,,,,,,,,,
24,High,L,0,0,0,1,7,6,14,3.81,2.71,4.36,,,,,,,,,,
24,High,N,0,0,0,1,1,2,4,2.12,1.61,4.25,,,,,,,,,,
24,High,O,0,0,0,0,0,2,2,1.58,1.1,,,,,,,,,,,
24,High,P,0,0,0,3,2,4,9,3.08,2.3,4.11,,,,,,,,,,
14,Low,F,0,4,15,25,3,0,47,6.89,3.87,2.57,,,,,,,,,,
14,Low,H,0,0,5,16,3,0,24,4.95,3.22,2.92,,,,,,,,,,
14,Low,J,0,0,8,45,5,1,59,7.71,4.09,2.98,,,,,,,,,,
14,Low,K,0,3,20,25,5,2,55,7.45,4.03,2.69,,,,,,,,,,
14,Low,L,0,2,13,31,2,0,48,6.96,3.89,2.69,,,,,,,,,,
14,Low,Q,0,0,0,4,1,0,5,2.35,1.79,3.2,,,,,,,,,,
14,Low,S,0,5,27,14,2,0,48,6.96,3.89,2.27,,,,,,,,,,
14,Low,W,0,0,0,0,0,0,0,0.71,0,,,,,,,,,,,
19,Low,A,0,0,1,7,10,4,22,4.74,3.14,3.77,,,8.683934263,3.070234402,,,,,,
19,Low,C,0,1,2,3,6,2,14,3.81,2.71,3.43,,,,,,,,,,
19,Low,E,0,0,0,0,0,0,0,0.71,0,,,,9.375,8.683934263,3.070234402,,,,,
19,Low,I,0,1,3,3,0,0,7,2.74,2.08,2.29,,,,,,,,,,
19,Low,N,0,0,0,0,0,0,0,0.71,0,,,,,,,,,,,
19,Low,R,0,0,0,4,5,12,21,4.64,3.09,4.38,,,,,,,,,,
19,Low,U,0,0,1,1,0,3,5,2.35,1.79,4,,,,,,,,,,
19,Low,X,0,0,0,3,1,2,6,2.55,1.95,3.83,,,,,,,,,,
24,Low,B,0,0,1,7,10,4,22,4.74,3.14,3.77,,,,,,,,,,
24,Low,D,0,0,0,0,8,9,17,4.18,2.89,4.53,,,,,,,,,,
24,Low,G,0,0,0,1,0,0,1,1.22,0.69,3,,,,,,,,,,
24,Low,M,0,0,0,3,1,1,5,2.35,1.79,3.6,,,,,,,,,,
24,Low,O,0,0,0,1,4,4,9,3.08,2.3,4.33,,,,,,,,,,
24,Low,P,0,0,0,0,0,0,0,0.71,0,,,,,,,,,,,
24,Low,T,0,0,0,0,0,0,0,0.71,0,,,,,,,,,,,
24,Low,V,0,0,0,0,0,0,0,0.71,0,,,,,,,,,,,
14,Medium,C,0,1,5,16,8,1,31,5.61,3.47,3.1,,,,,,,,,,
14,Medium,D,0,0,18,9,7,0,34,5.87,3.56,2.68,,,,,,,,,,
14,Medium,G,0,2,11,22,6,2,43,6.6,3.78,2.88,,,,,,,,,,
14,Medium,I,0,0,0,1,2,0,3,1.87,1.39,3.67,,,,,,,,,,
14,Medium,K,0,0,8,28,11,1,48,6.96,3.89,3.1,,,,,,,,,,
14,Medium,N,0,1,13,24,10,1,49,7.04,3.91,2.94,,,,,,,,,,
14,Medium,P,0,0,0,1,2,1,4,2.12,1.61,4,,,,,,,,,,
14,Medium,U,0,0,15,16,11,0,42,6.52,3.76,2.9,,,,,,,,,,
19,Medium,B,0,0,4,7,8,2,21,4.64,3.09,3.38,,,,,,,,,,
19,Medium,H,0,0,4,2,5,3,14,3.81,2.71,3.5,,,,,,,,,,
19,Medium,J,0,0,0,3,6,1,10,3.24,2.4,3.8,,,,,,,,,,
19,Medium,O,0,1,1,14,14,12,42,6.52,3.76,3.83,,,,,,,,,,
19,Medium,Q,0,0,0,3,3,9,15,3.94,2.77,4.4,,,,,,,,,,
19,Medium,T,0,2,6,7,8,5,28,5.34,3.37,3.29,,,,,,,,,,
19,Medium,V,0,1,0,1,3,7,12,3.54,2.56,4.25,,,,,,,,,,
19,Medium,X,0,0,2,5,7,10,24,4.95,3.22,4.04,,,,,,,,,,
24,Medium,A,0,0,0,5,5,12,22,4.74,3.14,4.32,,,,,,,,,,
24,Medium,E,0,0,0,1,2,2,5,2.35,1.79,4.2,,,,,,,,,,
24,Medium,F,0,0,0,2,3,5,10,3.24,2.4,4.3,,,,,,,,,,
24,Medium,L,0,0,0,0,0,2,2,1.58,1.1,5,,,,,,,,,,
24,Medium,M,0,0,0,0,1,4,5,2.35,1.79,4.8,,,,,,,,,,
24,Medium,R,0,0,0,2,5,18,25,5.05,3.26,4.64,,,,,,,,,,
24,Medium,S,0,0,0,5,7,14,26,5.15,3.3,4.35,,,,,,,,,,
24,Medium,W,0,0,0,1,1,3,5,2.35,1.79,4.4,,,,,,,,,,
