Treatment,DPI,Sample,VWC,Adult,L1,L2,L3,L4,L5,Total,sqrt_total,Average_Age,,,,,,,,,
Low,14,6,13.5,0,6,18,18,8,1,51,7.18,2.61,,,,,,,,,
Low,14,9,11.0,0,7,18,22,2,0,49,7.04,2.39,,,,,,,,,
Low,14,11,11.5,0,4,9,7,2,0,22,4.74,2.32,,,,,,,,,
Low,14,13,13.4,0,7,11,9,0,0,27,5.24,2.07,,,,,,,,,
Low,14,17,13.5,0,31,32,39,4,0,106,10.32,2.15,,,,,,,,,
Low,14,20,13.3,0,11,16,23,8,0,58,7.65,2.48,,,,,,,,,
Low,14,22,14.9,1,21,24,25,4,0,74,8.63,2.16,,,,,,,,,
Low,14,24,10.7,0,0,0,4,0,0,4,2.12,3.00,,,,,,,,,
Medium,14,6,24.7,0,28,18,12,18,3,79,8.92,2.37,,,,,,,,,
Medium,14,7,24.8,0,20,40,42,6,0,108,10.42,2.31,,,,,,,,,
Medium,14,8,24.9,0,13,43,44,18,0,118,10.89,2.57,,,,,,,,,
Medium,14,13,24.0,0,8,17,35,4,0,64,8.03,2.55,,,,,,,,,
Medium,14,18,24.5,0,21,26,24,9,0,80,8.97,2.26,,,,,,,,,
Medium,14,19,20.4,0,22,45,38,7,0,112,10.61,2.27,,,,,,,,,
Medium,14,20,21.2,0,0,2,7,0,0,9,3.08,2.78,,,,,,,,,
Medium,14,22,22.5,0,9,14,17,4,0,44,6.67,2.36,,,,,,,,,
High,14,3,31.8,0,2,11,26,19,0,58,7.65,3.07,,,,,,,,,
High,14,4,34.2,1,17,28,22,9,0,76,8.75,2.30,,,,,,,,,
High,14,6,34.0,0,16,20,24,13,0,73,8.57,2.47,,,,,,,,,
High,14,13,33.5,0,10,33,34,13,4,94,9.72,2.66,,,,,,,,,
High,14,17,34.3,0,25,14,18,8,1,66,8.15,2.18,,,,,,,,,
High,14,19,34.2,0,15,35,63,17,0,130,11.42,2.63,,,,,,,,,
High,14,21,30.2,0,12,40,55,10,0,117,10.84,2.54,,,,,,,,,
High,14,23,34.3,0,19,32,55,22,0,128,11.34,2.63,,,,,,,,,
Low,19,2,13.3,0,8,15,10,13,7,53,7.31,2.92,,,,,,,,,
Low,19,5,15.0,0,2,8,17,28,11,66,8.15,3.58,,,,,,,,,
Low,19,14,14.8,0,1,3,8,21,13,46,6.82,3.91,,,,,,,,,
Low,19,16,11.0,0,2,7,13,10,2,34,5.87,3.09,,,,,,,,,
Low,19,18,14.5,0,3,2,12,11,0,28,5.34,3.11,,,,,,,,,
Low,19,19,11.8,0,5,5,17,23,4,54,7.38,3.30,,,,,,,,,
Low,19,21,11.4,0,0,0,2,10,4,16,4.06,4.13,,,,,,,,,
Low,19,23,10.5,1,7,9,22,19,2,59,7.71,3.00,,,,,,,,,
Medium,19,3,23.7,0,5,4,15,22,19,65,8.09,3.71,,,,,,,,,
Medium,19,5,20.1,0,1,1,8,14,14,38,6.20,4.03,,,,,,,,,
Medium,19,10,22.2,0,9,17,31,37,12,106,10.32,3.25,,,,,,,,,
Medium,19,12,21.5,0,1,1,1,5,14,22,4.74,4.36,,,,,,,,,
Medium,19,17,20.0,0,8,11,27,22,4,72,8.51,3.04,,,,,,,,,
Medium,19,21,21.6,0,8,12,22,32,17,91,9.57,3.42,,,,,,,,,
Medium,19,23,21.7,0,3,4,21,26,17,71,8.46,3.70,,,,,,,,,
Medium,19,24,21.1,0,5,4,31,31,16,87,9.35,3.56,,,,,,,,,
High,19,1,31.8,0,0,11,18,24,12,65,8.09,3.57,,,,,,,,,
High,19,2,31.3,0,2,6,32,50,22,112,10.61,3.75,,,,,,,,,
High,19,10,32.4,0,3,13,28,21,11,76,8.75,3.32,,,,,,,,,
High,19,11,34.3,0,1,5,6,17,20,49,7.04,4.02,,,,,,,,,
High,19,12,31.8,0,0,9,22,30,26,87,9.35,3.84,,,,,,,,,
High,19,15,33.4,0,1,9,26,50,20,106,10.32,3.75,,,,,,,,,
High,19,22,33.5,0,2,14,25,30,10,81,9.03,3.40,,,,,,,,,
High,19,24,32.9,0,12,23,44,48,35,162,12.75,3.44,,,,,,,,,
Low,24,1,10.9,0,0,0,3,2,7,12,3.54,4.33,,,,,,,,,
Low,24,3,12.8,0,0,1,10,14,5,30,5.52,3.77,,,,,,,,,
Low,24,4,12.0,0,0,4,11,24,18,57,7.58,3.98,,,,,,,,,
Low,24,7,14.5,0,0,0,3,6,9,18,4.30,4.33,,,,,,,,,
Low,24,8,11.7,0,0,0,1,4,10,15,3.94,4.60,,,,,,,,,
Low,24,10,12.1,0,0,0,0,1,5,6,2.55,4.83,,,,,,,,,
Low,24,12,14.8,0,1,1,6,6,14,28,5.34,4.11,,,,,,,,,
Low,24,15,11.0,0,1,0,5,9,10,25,5.05,4.08,,,,,,,,,
Medium,24,1,22.6,0,1,4,14,11,12,42,6.52,3.69,,,,,,,,,
Medium,24,2,22.6,0,0,0,5,19,31,55,7.45,4.47,,,,,,,,,
Medium,24,4,21.2,0,1,0,1,8,10,20,4.53,4.30,,,,,,,,,
Medium,24,9,21.1,0,0,2,8,21,31,62,7.91,4.31,,,,,,,,,
Medium,24,11,22.0,0,0,0,6,10,19,35,5.96,4.37,,,,,,,,,
Medium,24,14,23.0,0,0,0,0,6,7,13,3.67,4.54,,,,,,,,,
Medium,24,15,22.4,0,0,0,6,5,25,36,6.04,4.53,,,,,,,,,
Medium,24,16,23.3,0,0,3,7,10,23,43,6.60,4.23,,,,,,,,,
High,24,5,32.5,0,2,4,17,25,21,69,8.34,3.86,,,,,,,,,
High,24,7,31.8,0,0,0,7,18,33,58,7.65,4.45,,,,,,,,,
High,24,8,30.9,0,0,0,0,1,2,3,1.87,4.67,,,,,,,,,
High,24,9,31.0,0,1,2,8,21,7,39,6.28,3.79,,,,,,,,,
High,24,14,32.7,0,0,0,4,6,11,21,4.64,4.33,,,,,,,,,
High,24,16,31.5,0,0,0,0,0,21,21,4.64,5.00,,,,,,,,,
High,24,18,31.0,0,0,0,2,10,23,35,5.96,4.60,,,,,,,,,
High,24,20,33.4,0,0,0,1,0,15,16,4.06,4.88,,,,,,,,,
