plot,subplot,product,rainfall,L1,L2,L3,L4,L5,total,sqrt_total,total_L3_L5,sqrt_L3_L5
2,E,control,high,2,4,0,1,0,7,2.74,1,1.22
5,B,control,high,0,1,1,4,0,6,2.55,5,2.35
8,F,control,high,0,0,4,2,0,6,2.55,6,2.55
11,F,control,high,0,0,4,0,0,4,2.12,4,2.12
14,A,control,high,0,1,3,0,0,4,2.12,3,1.87
16,D,control,high,0,0,0,1,2,3,1.87,3,1.87
19,E,control,high,1,0,1,2,1,5,2.35,4,2.12
23,F,control,high,0,0,1,3,1,5,2.35,5,2.35
1,E,control,medium,1,0,2,1,0,4,2.12,3,1.87
4,F,control,medium,0,1,2,3,0,6,2.55,5,2.35
9,B,control,medium,1,0,4,8,1,14,3.81,13,3.67
12,C,control,medium,0,4,6,7,0,17,4.18,13,3.67
15,F,control,medium,3,1,2,2,0,8,2.92,4,2.12
18,D,control,medium,1,3,6,5,0,15,3.94,11,3.39
20,B,control,medium,0,0,2,2,0,4,2.12,4,2.12
22,A,control,medium,1,2,0,0,0,3,1.87,0,0.71
3,A,control,none,0,5,3,0,0,8,2.92,3,1.87
6,D,control,none,0,1,4,6,1,12,3.54,11,3.39
7,D,control,none,0,1,5,8,1,15,3.94,14,3.81
10,A,control,none,0,0,1,1,1,3,1.87,3,1.87
13,B,control,none,0,1,0,0,0,1,1.22,0,0.71
17,E,control,none,0,0,1,2,1,4,2.12,4,2.12
21,A,control,none,1,0,1,1,0,3,1.87,2,1.58
24,A,control,none,2,1,4,4,5,16,4.06,13,3.67
2,C,cyantraniliprole,high,1,5,6,10,0,22,4.74,16,4.06
5,A,cyantraniliprole,high,0,0,1,0,0,1,1.22,1,1.22
8,C,cyantraniliprole,high,0,1,0,0,0,1,1.22,0,0.71
11,B,cyantraniliprole,high,0,0,0,0,0,0,0.71,0,0.71
14,D,cyantraniliprole,high,3,1,4,1,0,9,3.08,5,2.35
16,B,cyantraniliprole,high,0,1,2,0,0,3,1.87,2,1.58
19,B,cyantraniliprole,high,1,0,1,2,0,4,2.12,3,1.87
23,B,cyantraniliprole,high,2,1,2,0,0,5,2.35,2,1.58
1,D,cyantraniliprole,medium,0,1,2,4,0,7,2.74,6,2.55
4,D,cyantraniliprole,medium,1,2,6,5,2,16,4.06,13,3.67
9,A,cyantraniliprole,medium,0,4,7,8,3,22,4.74,18,4.3
12,B,cyantraniliprole,medium,0,1,0,3,0,4,2.12,3,1.87
15,C,cyantraniliprole,medium,0,0,1,0,0,1,1.22,1,1.22
18,F,cyantraniliprole,medium,0,0,0,0,0,0,0.71,0,0.71
20,D,cyantraniliprole,medium,1,0,0,2,1,4,2.12,3,1.87
22,C,cyantraniliprole,medium,1,0,0,0,0,1,1.22,0,0.71
3,C,cyantraniliprole,none,0,0,1,5,2,8,2.92,8,2.92
6,F,cyantraniliprole,none,2,0,1,0,0,3,1.87,1,1.22
7,B,cyantraniliprole,none,0,0,0,0,0,0,0.71,0,0.71
10,F,cyantraniliprole,none,0,0,0,0,0,0,0.71,0,0.71
13,F,cyantraniliprole,none,0,0,0,0,0,0,0.71,0,0.71
17,F,cyantraniliprole,none,0,1,1,0,0,2,1.58,1,1.22
21,C,cyantraniliprole,none,0,0,0,0,0,0,0.71,0,0.71
24,F,cyantraniliprole,none,0,0,1,0,0,1,1.22,1,1.22
2,A,novaluron,high,1,2,6,6,0,15,3.94,12,3.54
5,C,novaluron,high,0,1,2,0,0,3,1.87,2,1.58
