plot,subplot,treatment,product,rainfall,L1,L2,L3,L4,L5,total,sqrt_total,total_L3_L5,sqrt_L3_L5,Koc
1,B,1,control,none,0,0,0,4,12,16,4.062,16,4.062,0
3,F,1,control,none,0,0,0,1,4,5,2.345,5,2.345,0
4,E,1,control,none,0,0,1,1,3,5,2.345,5,2.345,0
5,C,1,control,none,1,0,0,1,1,3,1.871,2,1.581,0
8,B,1,control,none,0,0,0,0,8,8,2.915,8,2.915,0
15,C,1,control,none,0,0,0,0,3,3,1.871,3,1.871,0
9,D,2,control,medium,2,0,0,0,0,2,1.581,0,0.707,0
10,F,2,control,medium,0,0,4,7,4,15,3.937,15,3.937,0
12,F,2,control,medium,0,0,2,8,23,33,5.788,33,5.788,0
13,B,2,control,medium,0,1,0,0,4,5,2.345,4,2.121,0
17,B,2,control,medium,0,0,0,0,0,0,0.707,0,0.707,0
18,C,2,control,medium,0,0,0,0,0,0,0.707,0,0.707,0
20,F,2,control,medium,0,0,0,3,4,7,2.739,7,2.739,0
23,A,2,control,medium,0,0,0,0,2,2,1.581,2,1.581,0
2,C,3,control,high,0,0,1,3,4,8,2.915,8,2.915,0
7,A,3,control,high,0,0,1,1,5,7,2.739,7,2.739,0
11,A,3,control,high,0,0,0,0,1,1,1.225,1,1.225,0
14,A,3,control,high,0,0,0,1,0,1,1.225,1,1.225,0
16,F,3,control,high,0,1,1,4,10,16,4.062,15,3.937,0
19,E,3,control,high,0,0,1,1,2,4,2.121,4,2.121,0
21,C,3,control,high,0,0,0,2,1,3,1.871,3,1.871,0
24,E,3,control,high,1,0,0,4,1,6,2.55,5,2.345,0
1,F,4,cyantraniliprole,none,0,0,0,0,0,0,0.707,0,0.707,241
3,C,4,cyantraniliprole,none,0,0,0,0,0,0,0.707,0,0.707,241
4,B,4,cyantraniliprole,none,0,0,1,1,0,2,1.581,2,1.581,241
5,D,4,cyantraniliprole,none,0,0,0,1,1,2,1.581,2,1.581,241
8,E,4,cyantraniliprole,none,0,0,0,0,0,0,0.707,0,0.707,241
15,D,4,cyantraniliprole,none,0,0,0,1,1,2,1.581,2,1.581,241
9,E,5,cyantraniliprole,medium,0,1,0,2,1,4,2.121,3,1.871,241
10,E,5,cyantraniliprole,medium,0,0,1,1,5,7,2.739,7,2.739,241
12,B,5,cyantraniliprole,medium,0,0,1,0,1,2,1.581,2,1.581,241
13,F,5,cyantraniliprole,medium,0,0,0,1,0,1,1.225,1,1.225,241
17,A,5,cyantraniliprole,medium,0,0,4,0,0,4,2.121,4,2.121,241
18,F,5,cyantraniliprole,medium,0,0,0,1,1,2,1.581,2,1.581,241
20,C,5,cyantraniliprole,medium,0,0,0,3,4,7,2.739,7,2.739,241
23,D,5,cyantraniliprole,medium,0,0,0,2,2,4,2.121,4,2.121,241
2,B,6,cyantraniliprole,high,1,0,0,0,1,2,1.581,1,1.225,241
7,C,6,cyantraniliprole,high,3,0,1,0,0,4,2.121,1,1.225,241
11,D,6,cyantraniliprole,high,0,0,1,4,5,10,3.24,10,3.24,241
14,E,6,cyantraniliprole,high,0,0,1,3,3,7,2.739,7,2.739,241
16,B,6,cyantraniliprole,high,1,0,1,1,1,4,2.121,3,1.871,241
19,C,6,cyantraniliprole,high,2,0,0,5,3,10,3.24,8,2.915,241
21,D,6,cyantraniliprole,high,0,0,0,1,1,2,1.581,2,1.581,241
24,A,6,cyantraniliprole,high,0,0,1,2,0,3,1.871,3,1.871,241
